Text,Language
" wanpela hap bilong wanpela 'cherry treat' we i gat soklet long en. Maski, dispela strateji i wok gut. Tim bilong mi i lus long 53 poin tasol na i no 58.",Tok Pisin
Pasin bilong ol 'catfisher' na 'dikteta' long paulim tingting bilong ol manmeri em i samting nogut tru. ,Tok Pisin
Dis was a time when everybody si success an steppin up inna life as talkin like di Queen of England. Miss Lou dared to big up all tings Jamaican.,Jamaican Creole
Modi bu sta?,Cape Verdean Creole
M'kontan fè konesans ou,Haitian Creole
Bilong me hangamapim bot stap pulap maleo,Tok Pisin
Inna di morrows,Jamaican Creole
mi orait tasol,Tok Pisin
Candela!,Papiamento
"Pa gen dlo menm menm. Plant ap mouri, bèt ap mouri.",Haitian Creole
Onè Respè!,Haitian Creole
Kum ta?,Cape Verdean Creole
Di chuck want tree new tyres.,Jamaican Creole
Porfabor Bo por bisami un biaha mas e mesun cos,Papiamento
Meri i gat liklik sipsip,Tok Pisin
Yuh done know.,Jamaican Creole
Consensa,Cape Verdean Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
Shi quick quick luv di patwa as di language of di people betta dan di stush English dem did a teach inna school. Mi mudda explain datMiss Lou did write har first poem at di tenda age of 14 and inna no time shi write har poem dem inna di Gleana.,Jamaican Creole
Mi ta gusta ku bo.,Papiamento
 Di way how she tek pride inna wi culcha and chat di patwa mek di whole a wi feel good. Pon toppa dat she inspire a whole heap a Jamaican artists to buss out with boasiness.,Jamaican Creole
Bo lo kier baila cumi? ,Papiamento
Modi bu sta?,Cape Verdean Creole
Bon maten,Haitian Creole
Esaki tin hopi di haber ku e limitashonnan di tempu ku nos ta pretendé di sinti den e era digital.,Papiamento
mi orait tasol,Tok Pisin
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
E ta bon.,Papiamento
Mwen pa komprann,Haitian Creole
Wha gwan?,Jamaican Creole
"Purba pone algun prosa riba pantaya, sinembargo, i nan ta meskla nan mes basta lihé. ",Papiamento
Candela!,Papiamento
Li ap mache.,Haitian Creole
Bonswa,Haitian Creole
Ki non w?,Haitian Creole
Dispela em i gut.,Tok Pisin
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
"insait long wanpela tripela lain sentens insait long wanpela email. Em i no inap long eskius. Stat long dispela taim, mi bin traim long abrusim ol 'conjunction' taim mi inap. Ol koma, ol na, tasol, na olsem i no stap moa; insait em ol 'staccato declaratives'. ",Tok Pisin
inap yu kam wantaim mi?,Tok Pisin
Ki non w?,Haitian Creole
Sante!,Haitian Creole
" I think that is the root of the pride that we have in Miss Lou and in ourselves. We saw ourselves reflected in her, and in a way that was very dignified and uniquely Jamaican.",Jamaican Creole
Ki non ou?,Haitian Creole
Mi irie,Jamaican Creole
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
Yu whosait?,Tok Pisin
Di way shi chat di patwa wid respectability mek har an expert til Bajan poet Kamau Braithwaite call it a “nation language.” ,Jamaican Creole
"But Pharaoh say no, so Jah send down some big big plague dem fi force Pharaoh fi let di people dem go.",Jamaican Creole
Good frien’ betta dan packet money,Jamaican Creole
"I no long taim i go pinis, mi luksave olsem ol sentens bilong mi i save go het taim mi raitim ol long skrin. Dispela i go long raitim planti samting na tu long raitim ol pas.",Tok Pisin
Esaki tin hopi di haber ku e limitashonnan di tempu ku nos ta pretendé di sinti den e era digital.,Papiamento
papelnan ofisial mi a ripará ku el a nase na 1913.,Papiamento
" Nos no tin tempu pa traha karta i post nan mas–muchu ménos paga gastunan di post, kiko ku tur e bankonan kinda-sorta ta pèrdè nos sèn e dianan aki–p’esei nos ta blast algun email. ",Papiamento
Algin li ta papia inglés?,Cape Verdean Creole
Porfabor Bo por bisami un biaha mas e mesun cos,Papiamento
Es ta bon.,Cape Verdean Creole
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
mi laik go long Airport,Tok Pisin
"Oh wate wate wate wate… You know dis ting a appen too offen yunnuh… somebody a seh “yOuR hAnD”. Its not your hand, its yuh han! Nuh pwoil up di culcha!”",Jamaican Creole
Kum ta?,Cape Verdean Creole
Bo lo kier baila cumi? ,Papiamento
Meri i gat liklik sipsip,Tok Pisin
N a wè pi ta,Haitian Creole
Dja N perde nhas amiga,Cape Verdean Creole
Mi go long market.,Tok Pisin
Boas Festas,Cape Verdean Creole
"Everybody know dat widdout Miss Lou, reggae and di whole a Jamaican music dat wi kno right now wouldn’t be di same.",Jamaican Creole
Yon sèl lang se janm ase,Haitian Creole
Bon pasco di resureccion,Papiamento
"Shi seh dat, even doe tings improve di trute is yuh haffi drop di patwa an try talk proppa English if yuh waan tu move up an “navigate colonized spaces.” ",Jamaican Creole
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
Mi likim yu.,Tok Pisin
Yudami!,Papiamento
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Mi hovercraft ta yen di conglá,Papiamento
Pase yon bònn jounen,Haitian Creole
Fi sure wi wear patwa wid suh much pride dat it bleed inna other culcha. ,Jamaican Creole
lait malolo liklik,Tok Pisin
Masha danki,Papiamento
The parson sey de marriage cerfitikit soon cum inna de mail.,Jamaican Creole
"Pur favor, papia digabar",Cape Verdean Creole
Ta fest ti koku,Cape Verdean Creole
Kuma ku bu nome?,Cape Verdean Creole
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Bon pasco di resureccion,Papiamento
"Di way shi talk wid di children, an nuh tap wear di traditional Jamaican bandana dress, and di uppity weh shi chat patwa wid pride, even when di stush people dem try tu put har dung inspire di yute dem tu walk wid pride in demself.",Jamaican Creole
She tell di pickney dem Anansi stories an sing an dance an dem luv it. Dis was my muddas first time wid Miss Lou. ,Jamaican Creole
"Wanpela wik i go pinis wanpela pren i bin singautim tupela arapela marit long kam kaikai. Bihain, ol i rausim kaikai (tasol i no wain) long tebol bilong wanem samting i kamap olsem wanpela strongpela Scrabbling.",Tok Pisin
sori nogut,Tok Pisin
Inna di morrows,Jamaican Creole
Dja N perde nhas amiga,Cape Verdean Creole
"Pa gen dlo menm menm. Plant ap mouri, bèt ap mouri.",Haitian Creole
Bon pasco,Papiamento
"“Come mek mi hol yuh han.” Di audience jump in, den shi cut dem off:",Jamaican Creole
Di way shi chat di patwa wid respectability mek har an expert til Bajan poet Kamau Braithwaite call it a “nation language.” ,Jamaican Creole
Sila Kelie (Mai Sila) a kria mi hopi aña i e buki aki ta dediká,Papiamento
E meneer lo paga pa tur cos,Papiamento
 Di way how she tek pride inna wi culcha and chat di patwa mek di whole a wi feel good. Pon toppa dat she inspire a whole heap a Jamaican artists to buss out with boasiness.,Jamaican Creole
Mekim nem bilong yu i kamap bikpela.,Tok Pisin
Mwe kontan fe konesana ou,Haitian Creole
" Di colonizers put dung di patwa – dem neva like di patwa at all, an neva seet as respectable. ",Jamaican Creole
" Mi ta kere ainda ku e mihó ku nos por rekohé ta un análogo mas adekuá. I si nos mester haña un análogo den un unidat literario eksistente, mi ta proponé e paragraf. ",Papiamento
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
Pronto recuperacion,Papiamento
"Wanpela wik i go pinis wanpela pren i bin singautim tupela arapela marit long kam kaikai. Bihain, ol i rausim kaikai (tasol i no wain) long tebol bilong wanem samting i kamap olsem wanpela strongpela Scrabbling.",Tok Pisin
Anmwe!,Haitian Creole
Yuh done know.,Jamaican Creole
Es ta bon.,Cape Verdean Creole
Erez anivèsè,Haitian Creole
Good frien’ betta dan packet money,Jamaican Creole
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
"Devan yon ti kay pay gen de vye granmoun ki chita: yon nèg ki rele Byenneme, ak Delira, madanm li.",Haitian Creole
Sila Kelie (Mai Sila) a kria mi hopi aña i e buki aki ta dediká,Papiamento
"Nos no tin tempu pa papia, pues nos ta manda mensahe. Nos no tin tempu pa manda mensahe pa hende spesífiko, pues nos ta aktualisá nos status di Facebook. Nos no tin tempu pa skirbi ensayonan, pues nos ta blog.",Papiamento
D'xá-m' s'segód'!,Cape Verdean Creole
Mwen sonje w,Haitian Creole
Boas Festas,Cape Verdean Creole
Porfabor,Papiamento
Ol i stap?,Tok Pisin
Nha nomi e ...,Cape Verdean Creole
Rete,Haitian Creole
Mehora pronto,Papiamento
"Tout moun fèt lib, egal ego pou diyite kou wè dwa. Nou gen la rezon ak la konsyans epi nou fèt pou nou aji youn ak yon lespri fwatènite.",Haitian Creole
Modi bu sta?,Cape Verdean Creole
Tingim bagarap bai kamap sapos ol manmeri olsem Vladimir Putin bilong Rasia o Kim Jong-un bilong Not Korea i yusim dispela teknoloji long helpim ol kantri bilong ol long mekim bikpela wok bilong 'cyber-spionage'.,Tok Pisin
N´kré kumi cachupa,Cape Verdean Creole
Ou konprann?,Haitian Creole
Giras bilong en i waitpela tru,Tok Pisin
Giras bilong en i waitpela tru,Tok Pisin
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
"Even doe Miss Lou mek Jamaicans proud, mi mudda pine dat “patois can take you very far if you’re an artist, poet or musician, but it will not take you anywhere if you want to be a lawyer or politician ",Jamaican Creole
Modi bu sta?,Cape Verdean Creole
Bònn fèt pak,Haitian Creole
V byenvini,Haitian Creole
"Even doe Miss Lou mek Jamaicans proud, mi mudda pine dat “patois can take you very far if you’re an artist, poet or musician, but it will not take you anywhere if you want to be a lawyer or politician ",Jamaican Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
Nem bilong mi,Tok Pisin
Ou konprann?,Haitian Creole
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
Mi go long market.,Tok Pisin
Frah wha pawt yuh deh,Jamaican Creole
N a wè pi ta,Haitian Creole
sori nogut,Tok Pisin
papelnan ofisial mi a ripará ku el a nase na 1913.,Papiamento
"Tout bagay sèk, tout bagay tris.",Haitian Creole
"I no long taim i go pinis, mi luksave olsem ol sentens bilong mi i save go het taim mi raitim ol long skrin. Dispela i go long raitim planti samting na tu long raitim ol pas.",Tok Pisin
Bilong me hangamapim bot stap pulap maleo,Tok Pisin
Mwen sonje w,Haitian Creole
Tingim bagarap bai kamap sapos ol manmeri olsem Vladimir Putin bilong Rasia o Kim Jong-un bilong Not Korea i yusim dispela teknoloji long helpim ol kantri bilong ol long mekim bikpela wok bilong 'cyber-spionage'.,Tok Pisin
Consensa,Cape Verdean Creole
Babay,Haitian Creole
Bo ta bini?,Papiamento
Dja N perde nhas amiga,Cape Verdean Creole
Pogivim rong bilong mipela olsem mipela i pogivim ol arapela i mekim rong long mipela.,Tok Pisin
Im too haad eaize.,Jamaican Creole
"Wanpela wik i go pinis wanpela pren i bin singautim tupela arapela marit long kam kaikai. Bihain, ol i rausim kaikai (tasol i no wain) long tebol bilong wanem samting i kamap olsem wanpela strongpela Scrabbling.",Tok Pisin
Felisitasyon!,Haitian Creole
Un idioma nunka ta sufisiente,Papiamento
Yu whosait?,Tok Pisin
"Divès lyen ki konekte Ayiti ak Louisiana an tèm de kilti gastronomik, langaj, achitekti, relijyon, ak mizik pèsiste jodi a.",Haitian Creole
N´kré kumi cachupa,Cape Verdean Creole
"Wha gawn bad a maanin, cyaan kum gud a evelin.",Jamaican Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
inap yu kam wantaim mi?,Tok Pisin
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
Bikpela samting tru: Wanem samting tru yumi raitim taim yumi raitim olgeta dispela samting? Mi no inap giaman long kamapim wanpela nupela tok hia;,Tok Pisin
Bo ta bini?,Papiamento
Dixâ-m' em pás!,Cape Verdean Creole
"Li pap tounen. Non, se vre, pa gen lespwa.",Haitian Creole
"Moses spend forty years leading di people dem through di wilderness, and even though him never reach di Promised Land himself, him set di foundation fi di Hebrew people dem fi years to come.",Jamaican Creole
Bai sipsip igo wantaim tu,Tok Pisin
N´kré kumi cachupa,Cape Verdean Creole
"“Come mek mi hol yuh han.” Di audience jump in, den shi cut dem off:",Jamaican Creole
Bònn jounen,Haitian Creole
Rele la polis!,Haitian Creole
Mi nuh si dem.,Jamaican Creole
Dje serka ei sklabitut ta di nos? E buki aki ta skibí pa yuda nos komprondé nos historia di sklabitut mas mihó. ,Papiamento
Kote twalèt la?,Haitian Creole
Nhu ten ki bon.,Cape Verdean Creole
Babay,Haitian Creole
M'kontan fè konesans ou,Haitian Creole
Byenneme: “Zafè nou pa bon. Tout bagay ap mouri. Bondye bliye nou nèt.”,Haitian Creole
Bai sipsip igo wantaim tu,Tok Pisin
Mi irie,Jamaican Creole
Koman ou rele?,Haitian Creole
papelnan ofisial mi a ripará ku el a nase na 1913.,Papiamento
" (Ating Twain i bilip olsem wok bilong raitim pas, insait long wanpela gutpela wol, i nidim tu tingting gut. Tasol em i no bin yusim email.) Las wik mi painim mi yet i putim 4-pela konjunksen",Tok Pisin
Sa fe lon temps nou pa we,Haitian Creole
"Absalom! Absalom!, mi minim wanpela paragraf we i paul, i no stret, na i tantanim, samting olsem namba wan draf bilong Kerouac bilong On the Road - ol i bin pasim wantaim long ol 'bytes' tasol. Na 1 pesen em i gutpela.",Tok Pisin
Da-n lisensa,Cape Verdean Creole
Bo lo kier baila cumi? ,Papiamento
Ki kote de vye granmoun sa yo chita?,Haitian Creole
"Papa bilong mipela, yu stap long heven.",Tok Pisin
Mi irie,Jamaican Creole
Nha nomi e ...,Cape Verdean Creole
Kiko ta pasa?,Papiamento
Nou nan yon ti bouk pa twò lwen Pòtoprens. Bouk sa a rele Fonwouj. Li gen yon pwoblèm ki gwo anpil anpil: pa gen dlo. ,Haitian Creole
Nem bilong mi,Tok Pisin
N´kré kumi cachupa,Cape Verdean Creole
"After di ten plague dem, Pharaoh finally let di people dem go, but him change him mind and send him army after dem.",Jamaican Creole
Dixâ-m' em pás!,Cape Verdean Creole
Kel é seu nome?,Cape Verdean Creole
Wanem nem bilong yu?,Tok Pisin
Dja N perde nhas amiga,Cape Verdean Creole
Ale vou zan!,Haitian Creole
Da-n lisensa,Cape Verdean Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
"Pitit gason nou an kite nou depi lontan, pou ale koupe kann nan peyi Kiba.",Haitian Creole
Dja N perde nhas amiga,Cape Verdean Creole
Ou ka pale dousman souple?,Haitian Creole
Adye,Haitian Creole
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Bon apre-midi,Haitian Creole
Suzanna Fransiska (Tanchi Chu) ta un di mi welanan ku a kuida mi hopi den mi bida. Dia ku el a bai sosegá i mi tabata atendiendo su,Papiamento
Yu save?,Tok Pisin
Jwaye Nowèl,Haitian Creole
Venezuela i a traha den Kòkou. Ta di dje mi a fia e nòmber Mimina. Asin'aki e tambe por haña honor pa e kurashi ku el a demonstrá e,Papiamento
"Pitit gason nou an kite nou depi lontan, pou ale koupe kann nan peyi Kiba.",Haitian Creole
"Oh wate wate wate wate… You know dis ting a appen too offen yunnuh… somebody a seh “yOuR hAnD”. Its not your hand, its yuh han! Nuh pwoil up di culcha!”",Jamaican Creole
Ki bagay yo te plante sou tè a?,Haitian Creole
Pasin bilong ol 'catfisher' na 'dikteta' long paulim tingting bilong ol manmeri em i samting nogut tru. ,Tok Pisin
She tell di pickney dem Anansi stories an sing an dance an dem luv it. Dis was my muddas first time wid Miss Lou. ,Jamaican Creole
mi laikim planti plis,Tok Pisin
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
" Mi ta kere ainda ku e mihó ku nos por rekohé ta un análogo mas adekuá. I si nos mester haña un análogo den un unidat literario eksistente, mi ta proponé e paragraf. ",Papiamento
Algin li ta papia inglés?,Cape Verdean Creole
Bonswa,Haitian Creole
"Nau yet, ol 'virtual companions' na 'AI sexbots' i stap olsem wanpela liklik maket tru winim sosel midia, wantaim planti milion yusa na i no planti bilien.",Tok Pisin
Es ta bon.,Cape Verdean Creole
tempu ei. Espesialmente mi ke animá tur hende yòn pa lesa e buki aki ku un aktitut di siña nos historia sin laga rabia drenta boso kurason.,Papiamento
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
Patin bianda,Cape Verdean Creole
Nou nan yon ti bouk pa twò lwen Pòtoprens. Bouk sa a rele Fonwouj. Li gen yon pwoblèm ki gwo anpil anpil: pa gen dlo. ,Haitian Creole
Nhu ten ki bon.,Cape Verdean Creole
Es ta bon.,Cape Verdean Creole
"I no long taim i go pinis, mi luksave olsem ol sentens bilong mi i save go het taim mi raitim ol long skrin. Dispela i go long raitim planti samting na tu long raitim ol pas.",Tok Pisin
em hamas?,Tok Pisin
"When shi come back a yaad, shi would teach di young people dem at UWI bout Jamaican folklore and drama. ",Jamaican Creole
Bòn chans,Haitian Creole
Koman ou rele?,Haitian Creole
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Mi gaan,Jamaican Creole
" Pon toppa dat, shi study Jamaican folklore an den she learn more bout oral tradition, proverbs, and riddles dat shi big up in har work, chat bout.",Jamaican Creole
Modi bu sta?,Cape Verdean Creole
Dixâ-m' em pás!,Cape Verdean Creole
Un idioma nunka ta sufisiente,Papiamento
Fi sure wi wear patwa wid suh much pride dat it bleed inna other culcha. ,Jamaican Creole
Mi ah guh lef tiday,Jamaican Creole
Bikpela hamamas blong dispela Krismas go long yu Meri Krismas,Tok Pisin
" Mi mudda tell mi dat as a likkle girl how powaful it was fi si Miss Lou pon TV a chat patwa.Baan in 1919, Miss Lou tek up writin poetry from shi a likkle pickney. ",Jamaican Creole
Un lenguage nunka ta sufisiente,Papiamento
Mwe kontan fe konesana ou,Haitian Creole
Algin li ta papia inglés?,Cape Verdean Creole
"After di ten plague dem, Pharaoh finally let di people dem go, but him change him mind and send him army after dem.",Jamaican Creole
Giras bilong en i waitpela tru,Tok Pisin
Nou pral ale.,Haitian Creole
"So, Moses haffi run weh from Egypt and go live inna di wilderness.",Jamaican Creole
Danki,Papiamento
"Nos skirbimentu konstante a kuminsá sinti manera un paragraf digital sin fin. No un paragraf stret i hinkadó di The Sun Also Rises òf asta un paragraf grasioso, tin bia ta slip, tin bia ta bula di Absalom! Absalom!",Papiamento
"But Miss Lou neva stap, and Brathwaite seh “the hurricane does not roar in pentameter” – wi kno fi sure dat di English of Shakespeare caan match di true vibe of di Caribbean people.",Jamaican Creole
sori nogut,Tok Pisin
Pase yon bònn jounen,Haitian Creole
Ou ka pale dousman souple?,Haitian Creole
Pasin bilong ol 'catfisher' na 'dikteta' long paulim tingting bilong ol manmeri em i samting nogut tru. ,Tok Pisin
N bèlantre,Haitian Creole
Se youn plaisir fè konesans ou!,Haitian Creole
Ki non w?,Haitian Creole
"Papa Bubu, di Banda Bou, tabata manera un tawela pa mi i el a konta mi mashá kos di pasado. Su mayornan a kont'é di tempu di katibu. Hopi di loke ta skibí aki ta kosnan ku el a konta mi personalmente.",Papiamento
Pase yon bònn jounen,Haitian Creole
"When shi duh dis, everybody laugh. Miss Lou show us what is di language and culcha of di people, an what is di colonized language. As mi mudda explain",Jamaican Creole
sori nogut,Tok Pisin
Se bato mwen ki flote sou dlo a ki te ranpli avèk èèl,Haitian Creole
Masha danki,Papiamento
"As oppose to di English of di Queen, Braithwaite seh “nation language” is like di English of di slaves dat was full a African speech riddims like Hausa, Yoruba, Igbo, or Twi.",Jamaican Creole
The parson sey de marriage cerfitikit soon cum inna de mail.,Jamaican Creole
Mas importante: Kiko eksaktamente nos ta skirbiendo ora nos ta hasiendo tur e skirbimentu aki? Mi no ta bai pretendé di inventá un término kompletamente nobo aki; ,Papiamento
"Nos no tin tempu pa papia, pues nos ta manda mensahe. Nos no tin tempu pa manda mensahe pa hende spesífiko, pues nos ta aktualisá nos status di Facebook. Nos no tin tempu pa skirbi ensayonan, pues nos ta blog.",Papiamento
Dixâ-m' em pás!,Cape Verdean Creole
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
Ti manham,Cape Verdean Creole
"Jah part di Red Sea fi di Hebrew people dem fi escape, and when di Egyptian army try fi follow dem, di sea come back togedda and wash dem away.",Jamaican Creole
Nou nan yon ti bouk pa twò lwen Pòtoprens. Bouk sa a rele Fonwouj. Li gen yon pwoblèm ki gwo anpil anpil: pa gen dlo. ,Haitian Creole
A fe mi cyar,Jamaican Creole
Sa fè lontan,Haitian Creole
Kum ta?,Cape Verdean Creole
" Tasol olsem histori bilong ol kampani olsem Facebook, Google na Amazon i bin lainim yumi, ol dijitel samting bilong nau inap kamap ol bikpela samting bilong wol tumora.",Tok Pisin
Un lenguage nunka ta sufisiente,Papiamento
Yon jou se moun ki ka mouri tou. Depi lontan lontan lapli pa tonbe.,Haitian Creole
Dixâ-m' em pás!,Cape Verdean Creole
"Modi bu sta?, Kuma ku bu sta?",Cape Verdean Creole
Ol i stap?,Tok Pisin
Da-n lisensa,Cape Verdean Creole
"insait long wanpela tripela lain sentens insait long wanpela email. Em i no inap long eskius. Stat long dispela taim, mi bin traim long abrusim ol 'conjunction' taim mi inap. Ol koma, ol na, tasol, na olsem i no stap moa; insait em ol 'staccato declaratives'. ",Tok Pisin
Dja N perde avion/konboiu,Cape Verdean Creole
Kel é seu nome?,Cape Verdean Creole
Esaki tin hopi di haber ku e limitashonnan di tempu ku nos ta pretendé di sinti den e era digital.,Papiamento
Modi bu sta?,Cape Verdean Creole
Kiko ta pasa?,Papiamento
" Mi mudda tell mi dat as a likkle girl how powaful it was fi si Miss Lou pon TV a chat patwa.Baan in 1919, Miss Lou tek up writin poetry from shi a likkle pickney. ",Jamaican Creole
Mwen pa komprann,Haitian Creole
Candela!,Papiamento
" Mi ta kere ainda ku e mihó ku nos por rekohé ta un análogo mas adekuá. I si nos mester haña un análogo den un unidat literario eksistente, mi ta proponé e paragraf. ",Papiamento
Sapos Meri i go wokabaut,Tok Pisin
Bai sipsip igo wantaim tu,Tok Pisin
Algin li ta papia inglés?,Cape Verdean Creole
Tingim bagarap bai kamap sapos ol manmeri olsem Vladimir Putin bilong Rasia o Kim Jong-un bilong Not Korea i yusim dispela teknoloji long helpim ol kantri bilong ol long mekim bikpela wok bilong 'cyber-spionage'.,Tok Pisin
So dat a di story of Moses inna Jamaican patois! Give thanks fi di blessings of Jah,Jamaican Creole
Dis a di best.,Jamaican Creole
Pronto recuperacion,Papiamento
Inna di morrows,Jamaican Creole
"Everybody know dat widdout Miss Lou, reggae and di whole a Jamaican music dat wi kno right now wouldn’t be di same.",Jamaican Creole
"N´ka kré más, obrigado(a)",Cape Verdean Creole
Mi hovercraft ta yen di conglá,Papiamento
"Wanpela wik i go pinis wanpela pren i bin singautim tupela arapela marit long kam kaikai. Bihain, ol i rausim kaikai (tasol i no wain) long tebol bilong wanem samting i kamap olsem wanpela strongpela Scrabbling.",Tok Pisin
"Strongim mipela long bihainim laik bilong yu long graun, olsem ol i bihainim long heven.",Tok Pisin
Yama polis!,Papiamento
Kum ta?,Cape Verdean Creole
Koman ou rele?,Haitian Creole
N bèlantre,Haitian Creole
Dja N perde nhas amiga,Cape Verdean Creole
"Skrebe-l, pur favor",Cape Verdean Creole
"Si yo pa travay tè a, sa k ap rive?",Haitian Creole
" Mipela i bihainim tingting bilong yusim sotpela, moa gutpela tok na i no longpela na i no gat bikpela pe, laspela pilai bilong mipela em ",Tok Pisin
Bonjou,Haitian Creole
Tur fecha i datonan den e buki aki ta histórikamente korekto.,Papiamento
Yudami!,Papiamento
Ta fest ti koku,Cape Verdean Creole
Mwen sonje w,Haitian Creole
Ta fest ti koku,Cape Verdean Creole
Bon apre-midi,Haitian Creole
Bai sipsip igo wantaim tu,Tok Pisin
Sa fe lon temps nou pa we,Haitian Creole
"When shi duh dis, everybody laugh. Miss Lou show us what is di language and culcha of di people, an what is di colonized language. As mi mudda explain",Jamaican Creole
Adye,Haitian Creole
Yuh done know.,Jamaican Creole
"Even doe dem caana wi an wi haffi use di Queen English fi step up ina life, Miss Lou bring pride an dignity to all a wi an mek wi luv wi culcha.",Jamaican Creole
Da-n lisensa,Cape Verdean Creole
Ol i stap?,Tok Pisin
"insait long wanpela tripela lain sentens insait long wanpela email. Em i no inap long eskius. Stat long dispela taim, mi bin traim long abrusim ol 'conjunction' taim mi inap. Ol koma, ol na, tasol, na olsem i no stap moa; insait em ol 'staccato declaratives'. ",Tok Pisin
Bònn Ane,Haitian Creole
Mobeta long ritim olsem Hemingway nogut winim Faulkner nogut.,Tok Pisin
Dis was a time when everybody si success an steppin up inna life as talkin like di Queen of England. Miss Lou dared to big up all tings Jamaican.,Jamaican Creole
Da-n lisensa,Cape Verdean Creole
Ki kote de vye granmoun sa yo chita?,Haitian Creole
Sambai long mipela long taim bilong traim. ,Tok Pisin
Bo ta bini?,Papiamento
Dispela em i gut.,Tok Pisin
